"eval_counter";"datetime";"start_id";"objective_value";"best_value";"is_best";"n_rep_obj";"beta_Cancer centre (CLCC)";"beta_General public hospital";"beta_Private for profit hospital";"beta_Private not-for-profit hospital";"beta_Rehabilitation hospital";"beta_University hospital";"inc_sim_Cancer centre (CLCC)";"inc_sim_General public hospital";"inc_sim_Private for profit hospital";"inc_sim_Private not-for-profit hospital";"inc_sim_Rehabilitation hospital";"inc_sim_University hospital";"sse_Cancer centre (CLCC)";"sse_General public hospital";"sse_Private for profit hospital";"sse_Private not-for-profit hospital";"sse_Rehabilitation hospital";"sse_University hospital"
33;"2026-07-01 00:36:01";2;1.65827881494764;1.65827881494764;TRUE;5;0.00165168393286404;0.00324172924862236;0.00195496682929491;0.00324172924862237;0.000841544621667768;0.00136224610243588;0.101623913843153;0.153946778736573;0.0896862157430915;0.158224580584756;0.0428266867484253;0.0639028825536258;0.215787283913751;0.181896369616173;0.37891596676621;0.565203918974189;0.0826994576277201;0.233775818049598
34;"2026-07-01 00:39:30";2;1.53853118699356;1.53853118699356;TRUE;5;0.00173318446081388;0.00476562076767263;0.00223184207082563;0.00476562076767264;0.000630333071314385;0.000937869244794786;0.072052985120208;0.23306552988403;0.104807892975839;0.226236581122063;0.0262053267122149;0.0443188392467088;0.244134837497925;0.120668942531921;0.360527987089447;0.467566645759626;0.0925355069126289;0.253097267202015
35;"2026-07-01 00:43:01";3;2.15887720887033;1.53853118699356;FALSE;5;0.00067;0.00067;0.00067;0.00067;0.00067;0.00067;0.041949431393647;0.0305564792654367;0.0305282781070973;0.0319194381345302;0.0323945990143357;0.031081104123725;0.27478939491282;0.302371759806765;0.455246326630926;0.771069434241826;0.0888083041358281;0.266591989142168
36;"2026-07-01 00:46:34";3;2.13324705995084;1.53853118699356;FALSE;5;0.00139144909426316;0.00067;0.00067;0.00067;0.00067;0.00067;0.065628970979331;0.0326205218287428;0.0297297988729858;0.0313627042812469;0.034553626293162;0.0309585254440774;0.250524316587134;0.300106054570242;0.456324463128032;0.772047486416302;0.0875261540931026;0.266718585156028
37;"2026-07-01 00:50:03";3;2.14268470999458;1.53853118699356;FALSE;5;0.00067;0.00139144909426316;0.00067;0.00067;0.00067;0.00067;0.024872366094042;0.0659235538508045;0.0325775345070429;0.0302207229462712;0.0279105268815822;0.030752789525759;0.292984738656996;0.264727054929892;0.452485179809647;0.774055622494017;0.0915009827943432;0.266931131309685
38;"2026-07-01 00:53:41";3;2.12253128837957;1.53853118699356;FALSE;5;0.00067;0.00067;0.00139144909426316;0.00067;0.00067;0.00067;0.0325155670426454;0.0311664305847639;0.0651925454709869;0.0339121626791836;0.0259650824819519;0.0315239095729923;0.28476892367077;0.301701327629875;0.409670627734014;0.767573760052952;0.0926817275349796;0.266134921756979
39;"2026-07-01 00:57:17";3;2.12768595479589;1.53853118699356;FALSE;5;0.00067;0.00067;0.00067;0.00139144909426316;0.00067;0.00067;0.0282327991009944;0.0317141176680264;0.0299279626540615;0.0608458091816995;0.0231764240804452;0.031966704220447;0.289358156463575;0.301099967638786;0.456056776025646;0.721105352721593;0.0943874442857946;0.265678257660491
40;"2026-07-01 01:00:57";3;2.135397860949;1.53853118699356;FALSE;5;0.00067;0.00067;0.00067;0.00067;0.00139144909426316;0.00067;0.0379533202266618;0.031219206767306;0.0301569015404811;0.0333662151305059;0.0743254897550616;0.0327161712074772;0.278994915389312;0.301643353303018;0.45574761453175;0.768530681458583;0.0655750872350072;0.264906209031327
41;"2026-07-01 01:04:41";3;2.13916474811923;1.53853118699356;FALSE;5;0.00067;0.00067;0.00067;0.00067;0.00067;0.00139144909426316;0.021412002753595;0.0328765569136464;0.0333498505483596;0.0337215731271455;0.0275129182560597;0.0662619018486829;0.296742768185967;0.299825598169929;0.451446748330612;0.767907752295984;0.0917416871820429;0.231500193954696
42;"2026-07-01 01:08:17";3;2.10692248091863;1.53853118699356;FALSE;5;0.000854815344190351;0.000854815344190351;0.000854815344190351;0.000854815344190351;0.000854815344190351;0.000854815344190351;0.040514402413391;0.0401706067853656;0.0406990499749874;0.0420161638565392;0.0346905101812525;0.0412187332972847;0.276295948883159;0.291890892888753;0.441624936174129;0.753439395436653;0.0874451791280503;0.256226128407883
