seed_rule,seed_type,beta_regime,rep_id,sim_seed,beta_within_iter,seed_hospital_iter
random_MCO_SSR,type_random,low,7,11007,0.005980174615304863,750100232
random_MCO_SSR,type_random,low,10,11010,0.007082184838806024,020000089
random_MCO_SSR,type_random,low,1,11001,0.007636923745742374,520000019
random_MCO_SSR,type_random,low,17,11017,0.007861800370371647,830100558
random_MCO_SSR,type_random,low,15,11015,0.008222135681357857,010000065
random_MCO_SSR,type_random,low,5,11005,0.008289253537182694,130000565
random_MCO_SSR,type_random,low,6,11006,0.0087864994275477,350005021
random_MCO_SSR,type_random,mid,3,11003,0.0013348618875221787,410004063
random_MCO_SSR,type_random,mid,17,11017,0.0031343546373878636,830100558
random_MCO_SSR,type_random,mid,13,11013,0.005537319724398973,380000026
random_MCO_SSR,type_random,mid,11,11011,0.007772066217095064,640000600
random_MCO_SSR,type_random,mid,5,11005,0.00825717860820217,130000565
random_MCO_SSR,type_random,mid,7,11007,0.008303860011077462,750100232
random_MCO_SSR,type_random,mid,10,11010,0.008375840369998331,020000089
random_MCO_SSR,type_random,mid,4,11004,0.009590111313124821,580972685
random_MCO_SSR,type_random,mid,2,11002,0.011189451809136637,830213856
random_MCO_SSR,type_random,mid,14,11014,0.011965251752898205,260000278
random_MCO_SSR,type_random,mid,18,11018,0.012966210971235846,250000627
random_MCO_SSR,type_random,mid,19,11019,0.01443747881619253,750055287
random_MCO_SSR,type_random,mid,9,11009,0.014498754628620275,490000262
random_MCO_SSR,type_random,mid,8,11008,0.014885892457082057,770000149
random_MCO_SSR,type_random,mid,12,11012,0.015173067142046597,770000164
random_MCO_SSR,type_random,mid,15,11015,0.01566944554800165,010000065
random_MCO_SSR,type_random,mid,20,11020,0.016949320752733324,240000455
random_MCO_SSR,type_random,mid,1,11001,0.017071836183330413,520000019
random_MCO_SSR,type_random,mid,6,11006,0.020920363252501226,350005021
random_MCO_SSR,type_random,mid,16,11016,0.026613471699032925,460780042
random_SSR,type_random,high,19,11019,0.0013058846549176932,660781097
random_SSR,type_random,high,8,11008,0.007132926475165046,380009928
random_SSR,type_random,high,6,11006,0.011344124479703847,670000041
random_SSR,type_random,high,4,11004,0.01405929272109981,720000413
random_SSR,type_random,high,7,11007,0.01493883481448045,640780649
random_SSR,type_random,high,5,11005,0.015293539956781172,590810784
random_SSR,type_random,high,3,11003,0.01624922451388594,950100024
random_SSR,type_random,high,10,11010,0.019520846083861447,640780904
random_SSR,type_random,high,18,11018,0.02066338432746034,610000085
random_SSR,type_random,high,12,11012,0.021662029838736236,680000312
random_SSR,type_random,high,16,11016,0.023817363206988382,290036466
random_SSR,type_random,high,15,11015,0.027583093885849667,710002569
random_SSR,type_random,high,1,11001,0.02862659363199643,740780135
random_SSR,type_random,high,20,11020,0.029411075149386047,290036474
random_SSR,type_random,high,14,11014,0.030920565964364204,690000054
random_SSR,type_random,high,9,11009,0.03128659938883805,760780981
random_SSR,type_random,high,11,11011,0.032374558059402134,130042526
random_SSR,type_random,high,13,11013,0.03851945116072104,500012687
random_SSR,type_random,high,17,11017,0.03906857330551345,660790163
random_SSR,type_random,high,2,11002,0.04212319862880011,780300083
random_SSR,type_random,low,13,11013,5.557824619458048e-4,500012687
random_SSR,type_random,low,18,11018,0.003211175938422628,610000085
random_SSR,type_random,low,4,11004,0.0032115623371436796,720000413
random_SSR,type_random,low,12,11012,0.0034514416622792215,680000312
random_SSR,type_random,low,8,11008,0.0035295010399841497,380009928
random_SSR,type_random,low,20,11020,0.003562223327239644,290036474
random_SSR,type_random,low,3,11003,0.0036001061769761356,950100024
random_SSR,type_random,low,11,11011,0.005085265204119313,130042526
random_SSR,type_random,low,16,11016,0.005169270191932729,290036466
random_SSR,type_random,low,19,11019,0.005470742154229341,660781097
random_SSR,type_random,low,14,11014,0.005682275376178242,690000054
random_SSR,type_random,low,2,11002,0.005735981629763286,780300083
random_SSR,type_random,low,9,11009,0.005736733073273484,760780981
random_SSR,type_random,low,7,11007,0.005980174615304863,640780649
random_SSR,type_random,low,10,11010,0.007082184838806024,640780904
random_SSR,type_random,low,1,11001,0.007636923745742374,740780135
random_SSR,type_random,low,17,11017,0.007861800370371647,660790163
random_SSR,type_random,low,15,11015,0.008222135681357857,710002569
random_SSR,type_random,low,5,11005,0.008289253537182694,590810784
random_SSR,type_random,low,6,11006,0.0087864994275477,670000041
random_SSR,type_random,mid,3,11003,0.0013348618875221787,950100024
random_SSR,type_random,mid,17,11017,0.0031343546373878636,660790163
random_SSR,type_random,mid,13,11013,0.005537319724398973,500012687
random_SSR,type_random,mid,11,11011,0.007772066217095064,130042526
random_SSR,type_random,mid,5,11005,0.00825717860820217,590810784
random_SSR,type_random,mid,7,11007,0.008303860011077462,640780649
random_SSR,type_random,mid,10,11010,0.008375840369998331,640780904
random_SSR,type_random,mid,4,11004,0.009590111313124821,720000413
random_SSR,type_random,mid,2,11002,0.011189451809136637,780300083
random_SSR,type_random,mid,14,11014,0.011965251752898205,690000054
random_SSR,type_random,mid,18,11018,0.012966210971235846,610000085
random_SSR,type_random,mid,19,11019,0.01443747881619253,660781097
random_SSR,type_random,mid,9,11009,0.014498754628620275,760780981
random_SSR,type_random,mid,8,11008,0.014885892457082057,380009928
random_SSR,type_random,mid,12,11012,0.015173067142046597,680000312
random_SSR,type_random,mid,15,11015,0.01566944554800165,710002569
random_SSR,type_random,mid,20,11020,0.016949320752733324,290036474
random_SSR,type_random,mid,1,11001,0.017071836183330413,740780135
random_SSR,type_random,mid,6,11006,0.020920363252501226,670000041
random_SSR,type_random,mid,16,11016,0.026613471699032925,290036466
