"","date","total_patients","total_infected","overall_prevalence"
"269",2024-10-01,25066,198,0.00789914625388973
"270",2024-10-02,25066,197,0.00785925157583978
"271",2024-10-03,25066,198,0.00789914625388973
"272",2024-10-04,25066,199,0.00793904093193968
"273",2024-10-05,25066,198,0.00789914625388973
"274",2024-10-06,25066,198,0.00789914625388973
"275",2024-10-07,25066,197,0.00785925157583978
"276",2024-10-08,25066,198,0.00789914625388973
"277",2024-10-09,25066,199,0.00793904093193968
"278",2024-10-10,25066,198,0.00789914625388973
"279",2024-10-11,25066,198,0.00789914625388973
"280",2024-10-12,25066,198,0.00789914625388973
"281",2024-10-13,25066,199,0.00793904093193968
"282",2024-10-14,25066,199,0.00793904093193968
"283",2024-10-15,25066,196,0.00781935689778984
"284",2024-10-16,25066,197,0.00785925157583978
"285",2024-10-17,25066,197,0.00785925157583978
"286",2024-10-18,25066,200,0.00797893560998963
"287",2024-10-19,25066,200,0.00797893560998963
"288",2024-10-20,25066,201,0.00801883028803958
"289",2024-10-21,25066,201,0.00801883028803958
"290",2024-10-22,25066,201,0.00801883028803958
"291",2024-10-23,25066,201,0.00801883028803958
"292",2024-10-24,25066,201,0.00801883028803958
"293",2024-10-25,25066,200,0.00797893560998963
"294",2024-10-26,25066,200,0.00797893560998963
"295",2024-10-27,25066,199,0.00793904093193968
"296",2024-10-28,25066,200,0.00797893560998963
"297",2024-10-29,25066,200,0.00797893560998963
"298",2024-10-30,25066,200,0.00797893560998963
"299",2024-10-31,25066,200,0.00797893560998963
"300",2024-11-01,25066,199,0.00793904093193968
"301",2024-11-02,25066,200,0.00797893560998963
"302",2024-11-03,25066,201,0.00801883028803958
"303",2024-11-04,25066,199,0.00793904093193968
"304",2024-11-05,25066,201,0.00801883028803958
"305",2024-11-06,25066,201,0.00801883028803958
"306",2024-11-07,25066,202,0.00805872496608952
"307",2024-11-08,25066,202,0.00805872496608952
"308",2024-11-09,25066,201,0.00801883028803958
"309",2024-11-10,25066,201,0.00801883028803958
"310",2024-11-11,25066,201,0.00801883028803958
"311",2024-11-12,25066,203,0.00809861964413947
"312",2024-11-13,25066,204,0.00813851432218942
"313",2024-11-14,25066,203,0.00809861964413947
"314",2024-11-15,25066,204,0.00813851432218942
"315",2024-11-16,25066,204,0.00813851432218942
"316",2024-11-17,25066,203,0.00809861964413947
"317",2024-11-18,25066,203,0.00809861964413947
"318",2024-11-19,25066,202,0.00805872496608952
"319",2024-11-20,25066,201,0.00801883028803958
"320",2024-11-21,25066,200,0.00797893560998963
"321",2024-11-22,25066,199,0.00793904093193968
"322",2024-11-23,25066,199,0.00793904093193968
"323",2024-11-24,25066,201,0.00801883028803958
"324",2024-11-25,25066,201,0.00801883028803958
"325",2024-11-26,25066,201,0.00801883028803958
"326",2024-11-27,25066,200,0.00797893560998963
"327",2024-11-28,25066,201,0.00801883028803958
"328",2024-11-29,25066,202,0.00805872496608952
"329",2024-11-30,25066,202,0.00805872496608952
"330",2024-12-01,25066,202,0.00805872496608952
"331",2024-12-02,25066,202,0.00805872496608952
"332",2024-12-03,25066,202,0.00805872496608952
"333",2024-12-04,25066,202,0.00805872496608952
"334",2024-12-05,25066,203,0.00809861964413947
"335",2024-12-06,25066,202,0.00805872496608952
"336",2024-12-07,25066,203,0.00809861964413947
"337",2024-12-08,25066,202,0.00805872496608952
"338",2024-12-09,25066,202,0.00805872496608952
"339",2024-12-10,25066,202,0.00805872496608952
"340",2024-12-11,25066,203,0.00809861964413947
"341",2024-12-12,25066,203,0.00809861964413947
"342",2024-12-13,25066,202,0.00805872496608952
"343",2024-12-14,25066,202,0.00805872496608952
"344",2024-12-15,25066,203,0.00809861964413947
"345",2024-12-16,25066,202,0.00805872496608952
"346",2024-12-17,25066,202,0.00805872496608952
"347",2024-12-18,25066,202,0.00805872496608952
"348",2024-12-19,25066,203,0.00809861964413947
"349",2024-12-20,25066,203,0.00809861964413947
"350",2024-12-21,25066,204,0.00813851432218942
"351",2024-12-22,25066,204,0.00813851432218942
"352",2024-12-23,25066,203,0.00809861964413947
"353",2024-12-24,25066,203,0.00809861964413947
"354",2024-12-25,25066,205,0.00817840900023937
"355",2024-12-26,25066,204,0.00813851432218942
"356",2024-12-27,25066,204,0.00813851432218942
"357",2024-12-28,25066,204,0.00813851432218942
"358",2024-12-29,25066,203,0.00809861964413947
"359",2024-12-30,25066,203,0.00809861964413947
"360",2024-12-31,25066,203,0.00809861964413947
